"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-15,2026-04-13,"Img 1 | After Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,28,1.107143,,"Using campaign budget",0,6.34,Ongoing,-,-,-,31,204.516129,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 2 | Specs Lock Fast",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,139,1.122302,,"Using campaign budget",0,9.92,Ongoing,-,-,-,156,63.589744,1,,9.92,0.641026,1,0.641026,9.92,1,9.92
2026-03-15,2026-04-13,"Img 15 | Specs Get Decided Without You",inactive,"7-day click, 1-day view or 1-day engaged view",,,24,1.041667,,"Using campaign budget",0,0.74,Ongoing,-,-,-,25,29.6,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 3 | Stop Overpaying",inactive,"7-day click, 1-day view or 1-day engaged view",,,2,1,,"Using campaign budget",0,0.06,Ongoing,-,-,-,2,30,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 21 | Competitor Is Already In",inactive,"7-day click, 1-day view or 1-day engaged view",,,12,1,,"Using campaign budget",0,1.26,Ongoing,-,-,-,12,105,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 14 | The Spec Window Is Where You Win",inactive,"7-day click, 1-day view or 1-day engaged view",,,7,1,,"Using campaign budget",0,0.32,Ongoing,-,-,-,7,45.714286,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 1 | After Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,36,1.055556,,"Using campaign budget",0,3.63,Ongoing,-,-,-,38,95.526316,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 22 | Bid Time = Too Late",inactive,"7-day click, 1-day view or 1-day engaged view",,,4,1.25,,"Using campaign budget",0,0.1,Ongoing,-,-,-,5,20,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 12 | Pipeline Panic?",inactive,"7-day click, 1-day view or 1-day engaged view",,,11,1,,"Using campaign budget",0,0.63,Ongoing,-,-,-,11,57.272727,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 15 | Specs Get Decided Without You",inactive,"7-day click, 1-day view or 1-day engaged view",,,1,1,,"Using campaign budget",0,0.01,Ongoing,-,-,-,1,10,,,,,0,0,0,,
