"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-10,2026-04-03,"Img 28 | Your Reps Are Chasing the Wrong Projects",inactive,"7-day click, 1-day view or 1-day engaged view",,,68,1.058824,,"Using campaign budget",0,7.89,Ongoing,-,-,-,72,109.583333,2,,3.945,2.777778,2,2.777778,3.945,,
2026-03-10,2026-04-03,"Img 27 | Your Competitor Is Already in the Plans",inactive,"7-day click, 1-day view or 1-day engaged view",,,14,1,,"Using campaign budget",0,0.6,Ongoing,-,-,-,14,42.857143,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 9 | No Dashboards",inactive,"7-day click, 1-day view or 1-day engaged view",,,471,1.216561,,"Using campaign budget",0,37.77,Ongoing,-,-,-,573,65.91623,10,,3.777,1.745201,15,2.617801,2.518,4,9.4425
2026-03-10,2026-04-03,"Img 27 | Your Competitor Is Already in the Plans",inactive,"7-day click, 1-day view or 1-day engaged view",,,62,1.032258,,"Using campaign budget",0,6.44,Ongoing,-,-,-,64,100.625,3,,2.146667,4.6875,3,4.6875,2.146667,1,6.44
2026-03-10,2026-04-03,"Img 18 | This Is What You Get",inactive,"7-day click, 1-day view or 1-day engaged view",,,41,1.04878,,"Using campaign budget",0,3.11,Ongoing,-,-,-,43,72.325581,1,,3.11,2.325581,1,2.325581,3.11,,
2026-03-10,2026-04-03,"Img 17 | Trusted for 10+ Years",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 25 | Your Window Before Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,6,1,,"Using campaign budget",0,0.06,Ongoing,-,-,-,6,10,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 25 | Your Window Before Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,158,1.151899,,"Using campaign budget",0,17.2,Ongoing,-,-,-,182,94.505495,1,,17.2,0.549451,2,1.098901,8.6,2,8.6
2026-03-10,2026-04-03,"Img 21 | Competitor Is Already In",inactive,"7-day click, 1-day view or 1-day engaged view",,,7,1.142857,,"Using campaign budget",0,0.53,Ongoing,-,-,-,8,66.25,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 8 | If It’s On a Bid Board, It’s Too Late",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,118,1.144068,,"Using campaign budget",0,14.28,Ongoing,-,-,-,135,105.777778,6,,2.38,4.444444,8,5.925926,1.785,4,3.57
2026-03-10,2026-04-03,"Img 8 | If It’s On a Bid Board, It’s Too Late",inactive,"7-day click, 1-day view or 1-day engaged view",,,21,1.047619,,"Using campaign budget",0,1.44,Ongoing,-,-,-,22,65.454545,,,,,0,0,0,,
